user_id,item_id,timestamp,event_weight,event_type,subgroup
USER-0005,ITEM-013,2025-01-01T12:00:00+00:00,2.0,save,Focused regulars
USER-0159,ITEM-006,2025-01-05T20:00:00+00:00,1.0,open,Broad enthusiasts
USER-0057,ITEM-037,2025-01-06T07:00:00+00:00,2.0,save,Broad enthusiasts
USER-0198,ITEM-033,2025-01-06T07:00:00+00:00,1.0,open,Broad enthusiasts
USER-0164,ITEM-020,2025-01-07T13:00:00+00:00,1.0,open,Focused regulars
USER-0067,ITEM-027,2025-01-07T22:00:00+00:00,1.0,open,New explorers
USER-0091,ITEM-005,2025-01-08T16:00:00+00:00,1.0,open,New explorers
USER-0272,ITEM-010,2025-01-09T09:00:00+00:00,1.0,open,Focused regulars
USER-0080,ITEM-016,2025-01-10T11:00:00+00:00,3.0,complete,Focused regulars
USER-0099,ITEM-010,2025-01-10T20:00:00+00:00,3.0,complete,Broad enthusiasts
USER-0255,ITEM-028,2025-01-10T20:00:00+00:00,1.0,open,Broad enthusiasts
USER-0080,ITEM-013,2025-01-12T09:01:00+00:00,1.0,open,Focused regulars
USER-0015,ITEM-049,2025-01-12T10:00:00+00:00,1.0,open,Broad enthusiasts
USER-0001,ITEM-033,2025-01-12T15:00:00+00:00,2.0,save,New explorers
USER-0255,ITEM-020,2025-01-12T17:01:00+00:00,1.0,open,Broad enthusiasts
USER-0290,ITEM-028,2025-01-12T22:00:00+00:00,3.0,complete,Focused regulars
USER-0159,ITEM-019,2025-01-13T11:01:00+00:00,1.0,open,Broad enthusiasts
USER-0300,ITEM-017,2025-01-14T08:00:00+00:00,1.0,open,Broad enthusiasts
USER-0291,ITEM-025,2025-01-14T21:00:00+00:00,1.0,open,Broad enthusiasts
USER-0051,ITEM-006,2025-01-14T22:00:00+00:00,1.0,open,Broad enthusiasts
USER-0186,ITEM-005,2025-01-15T13:00:00+00:00,1.0,open,Broad enthusiasts
USER-0291,ITEM-055,2025-01-16T08:01:00+00:00,2.0,save,Broad enthusiasts
USER-0129,ITEM-055,2025-01-16T18:00:00+00:00,1.0,open,Broad enthusiasts
USER-0160,ITEM-025,2025-01-16T19:00:00+00:00,1.0,open,New explorers
USER-0290,ITEM-026,2025-01-17T12:01:00+00:00,3.0,complete,Focused regulars
USER-0297,ITEM-020,2025-01-17T14:00:00+00:00,1.0,open,Broad enthusiasts
USER-0203,ITEM-026,2025-01-17T15:00:00+00:00,1.0,open,Focused regulars
USER-0156,ITEM-042,2025-01-18T08:00:00+00:00,1.0,open,Broad enthusiasts
USER-0164,ITEM-028,2025-01-18T14:01:00+00:00,1.0,open,Focused regulars
USER-0078,ITEM-025,2025-01-18T16:00:00+00:00,2.0,save,Broad enthusiasts
USER-0103,ITEM-027,2025-01-18T19:00:00+00:00,1.0,open,New explorers
USER-0011,ITEM-044,2025-01-19T07:00:00+00:00,1.0,open,Focused regulars
USER-0200,ITEM-012,2025-01-19T15:00:00+00:00,3.0,complete,Focused regulars
USER-0129,ITEM-043,2025-01-19T22:01:00+00:00,1.0,open,Broad enthusiasts
USER-0312,ITEM-043,2025-01-20T08:00:00+00:00,1.0,open,Broad enthusiasts
USER-0186,ITEM-017,2025-01-20T09:01:00+00:00,1.0,open,Broad enthusiasts
USER-0080,ITEM-007,2025-01-21T12:02:00+00:00,2.0,save,Focused regulars
USER-0291,ITEM-044,2025-01-21T13:02:00+00:00,1.0,open,Broad enthusiasts
USER-0039,ITEM-013,2025-01-21T14:00:00+00:00,1.0,open,Broad enthusiasts
USER-0057,ITEM-013,2025-01-21T16:01:00+00:00,1.0,open,Broad enthusiasts
USER-0317,ITEM-025,2025-01-22T07:00:00+00:00,1.0,open,Focused regulars
USER-0156,ITEM-025,2025-01-22T09:01:00+00:00,1.0,open,Broad enthusiasts
USER-0042,ITEM-055,2025-01-22T10:00:00+00:00,1.0,open,Broad enthusiasts
USER-0227,ITEM-006,2025-01-22T10:00:00+00:00,1.0,open,Focused regulars
USER-0080,ITEM-031,2025-01-22T20:03:00+00:00,2.0,save,Focused regulars
